German,English
gängig,common
die Garantie,guarantee
gelten,to apply
der Gesamtpreis,total price
der/die Geschäftspartner/in,business partner
die Geschäftszeit,opening times
glänzend,shiny
der Griff,handle
der Hängeeckschrank,hanging corner cabinet
der Hängeschrank,hanging cabinet
der Herdumbauschrank,cupboard enclosing oven
höchstens,at most
das Informationsblatt,information sheet
der Kilometerstand,mileage
der Kindersitz,children’s seat
die Kondition,condition
die Küchenzeile,kitchen unit
die Kundenbewertung,customer rating
die Landesgrenze,country border
der Laufschuh,running shoe
lauten,to sound
die Lieferkosten,delivery costs
die Marmoroptik,marble-look
die Mehrwertsteuer,value added tax
mitteilen,to communicate
die MwSt (Mehrwertsteuer),VAT (value added tax)
netto,net
der Nettopreis,net price
niedrig,low
die Operation,operation
perlmuttfarben,pearly
die Personalversammlung,personal collection
die Plattform,platform
die Preisreduzierung,price reduction
die Produktionskosten,production costs
der Rabatt,discount
die Ratenzahlung,payment in instalments
der Rest,remainder
das Risiko,risk
die Selbstauskunft,self-disclosure
das Set,set
das Skonto,discount
der Sonderwunsch,special request
der Spülenumbauschrank,cupboard enclosing sink
die Tageszeit,time of day
das Transportschiff,transport ship
der Übersetzerdienst,translation service
die Umbauarbeit,renovation work
unfallfrei,without acciden
ungenau,inaccurate
der Unterschrank,lower cabinet
die Verhandlungsbasis,negotiating basis
das Verhandlungsgespräch,negotiation
verschicken,to despatch
verschiffen,to ship
verschmutzt,dirty
die Vorauszahlung,payment in advance
die Vorerkrankung,pre-existing illness
der Wagen,vehicle
wählbar,selectable
das Werk,factory
die Zeile,line
die Zeitdauer,duration
zeitgleich,at the same time
zerkratzt,scratched
die Zuordnung,allocation
zutreffen,to be applicable
abbuchen,to deduct
das Achtel,eighth
die Aktionswoche,promotional week
der Angebotspreis,promotional price
anschaffen,to acquire
anstellen,to employ
die Artikelbezeichnung,article description
aufgeben,to give up
aufstellen,to arrange
der Augenblick,moment
die Außenbeleuchtung,external lighting
die Barzahlung,cash payment
die Baumwolle,cotton
der/die Bestandskunde/Bestandskundin,existing customer
das Bestellformular,order form
betrachten,to regard
die Bezeichnung,description
der Bezug,reference
bislang,until now
der Bücherflohmarkt,book flea market
die Bücherkiste,book box
das Bücherregal,bookshelf
der Bücherschrank,book cupboard
cremeweiß,cream
dahin,there
das Darlehen,loan
das Design,design
das Drittel,third
dunkelblau,dark blue
dunkelgrau,dark gray
eh,huh
einholen,to gather
eintragen,to enter
der Einzelpreis,unit price
die Elternzeit,parental leave
erfragen,to inquire
ergeben,to yield
fällig,due
der Farbakzent,touch of colour
fertigmachen,to make ready
das Festgeld,fixed deposit
frühlingsgrün,spring green
gegenstandslos,devoid of purpose
der Gesamtbetrag,total amount
die Gesamtsumme,sum total
die Grünpflanze,green plant
die Handyzahlung,mobile payment
hellgrau,light gray
hervorragend,excellent
hinstellen,to place
hinterlassen,to leave behind
die Innenbeleuchtung,internal lighting
das Jahresende,end of the year
der Kaffeevollautomat,coffee machine
die Kartenzahlung,card payment
das Kissen,cushion
der Kissenbezug,cushion cover
klären,to clarify
klarkommen,to manage
der Lagerraum,storage room
die Lastschrift,direct debit
die Leseecke,reading corner
das Leuchtmittel,lamp
machbar,do-able
die Mahnung,reminder letter/warning
die Mikrowelle,microwave
das Missverständnis,misunderstanding
mitgestalten,to help shape
der/die Neukunde/Neukundin,new customer
der Onlinebezahldienst,online payment service
die Quote,quote
